date,datetime,SPOSTMIN,SACTMIN
5/30/2017,5/30/2017 11:03,240,
5/30/2017,5/30/2017 11:10,240,
5/30/2017,5/30/2017 11:17,240,
5/30/2017,5/30/2017 11:24,240,
5/30/2017,5/30/2017 11:30,240,
5/30/2017,5/30/2017 11:38,240,
5/30/2017,5/30/2017 11:52,240,
5/30/2017,5/30/2017 12:03,240,
5/30/2017,5/30/2017 12:10,240,
5/30/2017,5/30/2017 12:17,240,
5/30/2017,5/30/2017 12:24,240,
5/30/2017,5/30/2017 12:38,240,
5/30/2017,5/30/2017 12:59,240,
5/30/2017,5/30/2017 13:03,240,
5/30/2017,5/30/2017 13:17,240,
5/30/2017,5/30/2017 13:24,240,
5/30/2017,5/30/2017 13:30,180,
5/30/2017,5/30/2017 13:38,180,
5/30/2017,5/30/2017 13:45,180,
5/30/2017,5/30/2017 13:52,180,
5/30/2017,5/30/2017 13:59,180,
5/30/2017,5/30/2017 14:03,130,
5/30/2017,5/30/2017 14:10,130,
5/30/2017,5/30/2017 14:17,130,
5/30/2017,5/30/2017 14:24,130,
5/30/2017,5/30/2017 14:30,130,
5/30/2017,5/30/2017 14:38,130,
5/30/2017,5/30/2017 14:45,130,
5/30/2017,5/30/2017 14:52,150,
5/30/2017,5/30/2017 14:59,150,
5/30/2017,5/30/2017 15:03,150,
5/30/2017,5/30/2017 15:17,130,
5/30/2017,5/30/2017 15:24,130,
5/30/2017,5/30/2017 15:31,130,
5/30/2017,5/30/2017 15:34,130,
5/30/2017,5/30/2017 15:38,130,
5/30/2017,5/30/2017 15:45,130,
5/30/2017,5/30/2017 15:52,130,
5/30/2017,5/30/2017 15:59,130,
5/30/2017,5/30/2017 16:03,130,
5/30/2017,5/30/2017 16:17,130,
5/30/2017,5/30/2017 16:24,130,
5/30/2017,5/30/2017 16:38,130,
5/30/2017,5/30/2017 16:52,130,
5/30/2017,5/30/2017 16:59,130,
5/30/2017,5/30/2017 17:03,130,
5/30/2017,5/30/2017 17:17,130,
5/30/2017,5/30/2017 17:24,130,
5/30/2017,5/30/2017 17:38,130,
5/30/2017,5/30/2017 17:45,130,
5/30/2017,5/30/2017 17:52,130,
5/30/2017,5/30/2017 17:59,130,
5/30/2017,5/30/2017 18:03,130,
5/30/2017,5/30/2017 18:10,165,
5/30/2017,5/30/2017 18:17,165,
5/30/2017,5/30/2017 18:30,165,
5/30/2017,5/30/2017 18:38,165,
5/30/2017,5/30/2017 18:45,165,
5/30/2017,5/30/2017 18:52,165,
