date,datetime,SPOSTMIN,SACTMIN
7/19/2018,7/19/2018 17:58,35,
7/19/2018,7/19/2018 18:02,35,
7/19/2018,7/19/2018 18:09,35,
7/19/2018,7/19/2018 18:16,35,
7/19/2018,7/19/2018 18:23,60,
7/19/2018,7/19/2018 18:29,70,
7/19/2018,7/19/2018 18:37,70,
7/19/2018,7/19/2018 18:44,35,
7/19/2018,7/19/2018 18:51,35,
7/19/2018,7/19/2018 18:58,35,
7/19/2018,7/19/2018 19:02,40,
7/19/2018,7/19/2018 19:09,40,
7/19/2018,7/19/2018 19:16,40,
7/19/2018,7/19/2018 19:23,50,
7/19/2018,7/19/2018 19:29,45,
7/19/2018,7/19/2018 19:37,40,
7/19/2018,7/19/2018 19:44,40,
7/19/2018,7/19/2018 19:51,40,
7/19/2018,7/19/2018 19:58,35,
7/19/2018,7/19/2018 20:02,35,
7/19/2018,7/19/2018 20:09,35,
7/19/2018,7/19/2018 20:16,35,
7/19/2018,7/19/2018 20:23,35,
7/19/2018,7/19/2018 20:29,30,
7/19/2018,7/19/2018 20:37,25,
7/19/2018,7/19/2018 20:44,25,
7/19/2018,7/19/2018 20:51,25,
7/19/2018,7/19/2018 20:58,25,
7/19/2018,7/19/2018 21:02,30,
7/19/2018,7/19/2018 21:09,25,
7/19/2018,7/19/2018 21:16,25,
7/19/2018,7/19/2018 21:23,30,
7/19/2018,7/19/2018 21:29,25,
7/19/2018,7/19/2018 21:37,25,
7/19/2018,7/19/2018 21:44,25,
7/19/2018,7/19/2018 21:51,20,
7/19/2018,7/19/2018 21:58,20,
7/19/2018,7/19/2018 22:02,15,
7/19/2018,7/19/2018 22:09,20,
7/19/2018,7/19/2018 22:16,25,
7/19/2018,7/19/2018 22:23,25,
7/19/2018,7/19/2018 22:29,15,
7/20/2018,7/20/2018 6:37,5,
7/20/2018,7/20/2018 6:44,5,
7/20/2018,7/20/2018 6:51,5,
7/20/2018,7/20/2018 6:58,5,
7/20/2018,7/20/2018 7:02,5,
7/20/2018,7/20/2018 7:09,5,
7/20/2018,7/20/2018 7:16,5,
7/20/2018,7/20/2018 7:23,5,
7/20/2018,7/20/2018 7:29,5,
7/20/2018,7/20/2018 7:37,5,
7/20/2018,7/20/2018 7:44,5,
7/20/2018,7/20/2018 7:51,5,
7/20/2018,7/20/2018 7:58,5,
7/20/2018,7/20/2018 8:02,10,
7/20/2018,7/20/2018 8:09,10,
7/20/2018,7/20/2018 8:16,10,
7/20/2018,7/20/2018 8:23,10,
7/20/2018,7/20/2018 8:29,10,
7/20/2018,7/20/2018 8:37,10,
7/20/2018,7/20/2018 8:44,15,
7/20/2018,7/20/2018 8:51,20,
7/20/2018,7/20/2018 8:58,25,
7/20/2018,7/20/2018 9:02,25,
7/20/2018,7/20/2018 9:09,25,
7/20/2018,7/20/2018 9:16,25,
